126HR4000 spectrum
Wavelength [nm] // Intensity [u.a.] 
346.5978454504585 821.0
346.8631393398436 819.0
347.1284254242145 821.0
347.3937037030882 811.0
347.6589741759816 825.0
347.92423684241146 841.0
348.1894917018946 845.0
348.4547387539481 829.0
348.71997799808867 833.0
348.9852094338332 832.0
349.2504330606986 840.0
349.51564887820166 823.0
349.7808568858593 821.0
350.0460570831885 832.0
350.31124946970584 817.0
350.57643404492853 822.0
350.84161080837316 828.0
351.1067797595568 840.0
351.3719408979961 823.0
351.63709422320824 837.0
351.90223973470984 828.0
352.16737743201776 824.0
352.43250731464894 810.0
352.69762938212034 832.0
352.9627436339487 848.0
353.2278500696509 821.0
353.49294868874387 827.0
353.7580394907444 830.0
354.02312247516943 838.0
354.28819764153576 816.0
354.55326498936034 819.0
354.81832451816 819.0
355.08337622745165 844.0
355.348420116752 834.0
355.613456185578 838.0
355.8784844334467 820.0
356.1435048598747 826.0
356.4085174643791 838.0
356.6735222464765 836.0
356.938519205684 837.0
357.2035083415184 818.0
357.46848965349653 815.0
357.73346314113536 828.0
357.9984288039516 826.0
358.2633866414622 829.0
358.528336653184 828.0
358.793278838634 847.0
359.05821319732894 837.0
359.3231397287857 835.0
359.5880584325211 829.0
359.8529693080521 820.0
360.1178723548955 831.0
360.3827675725683 823.0
360.64765496058726 840.0
360.9125345184692 834.0
361.1774062457311 822.0
361.44227014188965 821.0
361.707126206462 818.0
361.9719744389649 829.0
362.2368148389151 833.0
362.5016474058295 825.0
362.766472139225 822.0
363.0312890386186 829.0
363.296098103527 835.0
363.5608993334672 830.0
363.82569272795587 833.0
364.09047828651006 829.0
364.35525600864656 839.0
364.6200258938823 830.0
364.8847879417341 844.0
365.1495421517188 817.0
365.41428852335326 829.0
365.67902705615444 838.0
365.9437577496392 838.0
366.2084806033243 841.0
366.4731956167267 818.0
366.7379027893632 833.0
367.0026021207507 826.0
367.2672936104061 825.0
367.5319772578463 837.0
367.79665306258806 833.0
368.06132102414836 824.0
368.32598114204393 839.0
368.59063341579173 832.0
368.85527784490864 835.0
369.1199144289115 837.0
