shot=13_position=5_gas=Ne_height=80_RF=149.3W_massflow=8000_coils=60.0A_HR4000 spectrum
Wavelength [nm] // Intensity [u.a.] 
306.7156474790747 782.0
306.98210664910647 798.0
307.2485580865939 808.0
307.5150017910539 797.0
307.7814377620034 804.0
308.0478659989591 801.0
308.31428650143795 803.0
308.58069926895683 813.0
308.8471043010326 811.0
309.1135015971821 804.0
309.37989115692227 781.0
309.6462729797699 808.0
309.91264706524197 797.0
310.1790134128551 800.0
310.4453720221265 805.0
310.71172289257277 795.0
310.97806602371094 805.0
311.2444014150577 786.0
311.5107290661301 798.0
311.777048976445 807.0
312.04336114551904 788.0
312.30966557286945 801.0
312.5759622580128 790.0
312.8422512004661 800.0
313.1085323997461 805.0
313.3748058553698 804.0
313.641071566854 806.0
313.90732953371554 790.0
314.17357975547145 804.0
314.4398222316384 798.0
314.70605696173334 808.0
314.9722839452731 790.0
315.23850318177466 797.0
315.50471467075477 811.0
315.7709184117303 807.0
316.0371144042182 801.0
316.3033026477353 806.0
316.56948314179846 800.0
316.8356558859246 794.0
317.1018208796305 797.0
317.36797812243304 783.0
317.6341276138491 794.0
317.90026935339563 784.0
318.1664033405894 790.0
318.4325295749473 802.0
318.6986480559862 788.0
318.96475878322303 784.0
319.2308617561746 799.0
319.4969569743577 800.0
319.76304443728935 805.0
320.0291241444864 796.0
320.2951960954656 801.0
320.5612602897438 787.0
320.82731672683815 789.0
321.0933654062652 792.0
321.359406327542 787.0
321.6254394901853 792.0
321.891464893712 807.0
322.157482537639 793.0
322.4234924214832 799.0
322.68949454476143 807.0
322.95548890699064 770.0
323.2214755076875 812.0
323.487454346369 808.0
323.753425422552 813.0
324.01938873575347 809.0
324.2853442854901 813.0
324.55129207127885 800.0
324.8172320926366 803.0
325.08316434908016 786.0
325.34908884012646 794.0
325.61500556529234 799.0
325.8809145240947 801.0
326.14681571605024 811.0
326.4127091406761 810.0
326.6785947974889 804.0
326.9444726860058 802.0
327.2103428057433 796.0
327.47620515621855 805.0
327.74205973694836 800.0
328.00790654744947 806.0
328.2737455872389 785.0
328.5395768558335 796.0
328.80540035275004 793.0
329.0712160775054 814.0
329.33702402961654 796.0
329.6028242086002 795.0
329.86861661397353 812.0
330.13440124525306 804.0
330.4001781019559 804.0
330.66594718359863 803.0
330.9317084896984 794.0
331.19746201977205 811.0
331.46320777333636 819.0
331.7289457499082 793.0
331.9946759490044 794.0
332.2603983701419 806.0
332.5261130128375 803.0
332.79181987660826 808.0
333.05751896097087 805.0
333.3232102654422 773.0
333.58889378953916 794.0
333.85456953277856 789.0
334.1202374946774 804.0
334.38589767475247 792.0
334.6515500725206 790.0
334.9171946874987 792.0
335.18283151920355 778.0
335.4484605671522 805.0
335.7140818308614 797.0
335.97969530984807 808.0
336.245301003629 792.0
336.51089891172114 794.0
336.77648903364127 797.0
337.04207136890636 810.0
337.30764591703326 807.0
337.5732126775387 813.0
